[2016-07-29T12:10:23+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2016-07-29T12:10:59+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-07-29T12:48:04+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-07-29T12:52:21+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-07-29T13:08:52+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-07-30T06:40:54+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-07-30T06:40:55+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-07-30T06:41:42+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-07-30T06:41:42+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-07-30T07:27:42+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-07-30T07:27:42+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-07-31T07:13:56+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-07-31T07:13:56+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-07-31T07:14:35+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-07-31T07:15:09+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type NONE (11)
[2016-07-31T07:15:24+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-07-31T07:24:33+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-07-31T07:50:57+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
